session_key,Date,Workout Name,Duration,Exercise_Name,Equipment,Set_Order,Weight,Reps,Distance,Seconds,Notes,Workout_Notes,RPE
7,2024-06-03 17:06:07,Chest and Triceps,1h 33m,Lateral Raise,Dumbbell,17,12.5,7,0,0,,,
7,2024-06-03 17:06:07,Chest and Triceps,1h 33m,Lateral Raise,Dumbbell,18,15,5,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Straight-leg Deadlift,Barbell,1,95,12,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Straight-leg Deadlift,Barbell,2,115,8,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Straight-leg Deadlift,Barbell,3,135,12,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Seated Row,Cable,4,120,13,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Seated Row,Cable,5,130,13,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Seated Row,Cable,6,140,13,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Seated Row,Cable,7,150,12,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,"Pulldown	",Cable,8,70,12,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,"Pulldown	",Cable,9,85,12,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,"Pulldown	",Cable,10,100,11,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Curl,Dumbbell,11,30,6,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Curl,Dumbbell,12,30,6,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Curl,Dumbbell,13,40,1,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Curl,Dumbbell,14,35,3,0,0,,,
8,2024-06-04 21:12:11,Back and Biceps,1h 24m,Curl,Dumbbell,15,0,0,0,70,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Presses: 45° Leg Press,Sled,1,315,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Presses: 45° Leg Press,Sled,2,405,8,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Presses: 45° Leg Press,Sled,3,455,0,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Presses: 45° Leg Press,Sled,4,405,2,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Squat,Barbell,5,135,4,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Squat,Barbell,6,95,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Squat,Barbell,7,115,8,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Extension,Lever (selectorized),8,60,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Extension,Lever (selectorized),9,75,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Extension,Lever (selectorized),10,90,8,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Leg Extension,Lever (selectorized),11,90,8,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Seated Leg Curl,Lever (selectorized),12,60,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Seated Leg Curl,Lever (selectorized),13,75,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Seated Leg Curl,Lever (selectorized),14,90,12,0,0,,,
9,2024-06-05 20:39:55,Legs,1h 17m,Seated Leg Curl,Lever (selectorized),15,105,12,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Bench Press,Barbell,1,135,5,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Bench Press,Barbell,2,135,5,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Bench Press,Barbell,3,135,4,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Bench Press,Dumbbell,4,70,12,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Incline Bench Press,Dumbbell,5,70,11,0,0,70 lbs = 35 lbs each arm,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Incline Bench Press,Dumbbell,6,80,10,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Incline Bench Press,Dumbbell,7,90,4,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Shoulder Press,Dumbbell,8,40,12,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Shoulder Press,Dumbbell,9,50,3,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Shoulder Press,Dumbbell,10,60,2,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Lateral Raise,Dumbbell,11,20,12,0,0,"20lbs = 10lbs each arm, no change 1st set\nCheated on 3rd set with 20lb weights",,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Lateral Raise,Dumbbell,12,30,7,0,0,,,
10,2024-06-06 18:44:11,Chest and Triceps,1h 7m,Lateral Raise,Dumbbell,13,40,5,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Straight-leg Deadlift,Barbell,1,135,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Straight-leg Deadlift,Barbell,2,135,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Straight-leg Deadlift,Barbell,3,135,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Straight-leg Deadlift,Barbell,4,135,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Seated Row,Cable,5,130,12,0,0,,,
